,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Coffs Harbour,AU,-30.3,153.13,77.0,57,0,9.17,clear sky
83,Trelew,AR,-43.25,-65.31,66.2,17,75,34.45,broken clouds
84,Soller,ES,39.77,2.72,55.99,76,0,5.82,clear sky
85,Malakal,SS,9.53,31.66,78.19,27,9,5.1,clear sky
86,Te Anau,NZ,-45.42,167.72,66.27,48,95,3.27,overcast clouds
87,Leningradskiy,RU,69.38,178.42,29.14,98,100,23.04,overcast clouds
88,Busselton,AU,-33.65,115.33,57.99,71,82,7.0,broken clouds
89,Bluff,NZ,-46.6,168.33,62.01,66,100,5.01,overcast clouds
90,Jacqueville,CI,5.21,-4.41,82.4,83,20,8.05,few clouds
91,Jalu,LY,29.03,21.55,56.53,69,0,8.81,clear sky
92,Mangrol,IN,21.12,70.12,72.55,39,0,14.23,clear sky
93,Waw,SS,7.7,28.0,78.89,31,64,3.8,broken clouds
94,Port Augusta,AU,-32.5,137.77,87.01,73,9,17.22,clear sky
95,Yar-Sale,RU,66.83,70.83,8.2,95,95,11.65,overcast clouds
96,Santa Rosa,PH,14.31,121.11,78.8,69,40,5.82,scattered clouds
97,Port Hardy,CA,50.7,-127.42,44.6,87,75,4.7,broken clouds
98,Pisco,PE,-13.7,-76.22,66.2,77,20,8.05,few clouds
99,Adelaide,AU,-34.93,138.6,75.99,53,20,10.29,few clouds
100,Pogar,RU,52.55,33.26,32.22,98,88,3.27,overcast clouds
101,Gizo,SB,-8.1,156.84,83.43,69,88,7.67,overcast clouds
102,Grand Gaube,MU,-20.01,57.66,75.0,86,7,5.99,light rain
103,Ust-Nera,RU,64.57,143.2,-19.98,78,99,3.71,overcast clouds
104,Opuwo,NA,-18.06,13.84,70.61,34,2,5.53,clear sky
105,Aksarka,RU,66.56,67.8,5.65,95,100,10.11,overcast clouds
106,Paracuru,BR,-3.41,-39.03,81.0,73,93,18.01,overcast clouds
107,Vaini,TO,-21.2,-175.2,82.4,74,20,9.17,few clouds
108,Altamira,BR,-3.2,-52.21,77.99,84,98,3.2,overcast clouds
109,Urusha,RU,54.05,122.9,6.13,83,33,7.27,scattered clouds
110,Ahipara,NZ,-35.17,173.17,65.26,85,100,14.14,overcast clouds
111,Vitim,RU,59.45,112.56,5.31,93,100,5.32,overcast clouds
112,Guerrero Negro,MX,27.98,-114.06,68.25,64,90,12.01,overcast clouds
